CountryName,Country Id,123,123
Afghanistan,AFG,46215,1763
Albania,ALB,37625,798
Algeria,DZA,81212,2393
Andorra,AND,6610,76
Angola,AGO,15087,345
Anguilla,AIA,4,0
Antigua and Barbuda,ATG,141,4
Argentina,ARG,1413375,38322
Armenia,ARM,134768,2142
Aruba,ABW,4833,45
Australia,AUS,27893,907
Austria,AUT,279708,3105
Azerbaijan,AZE,118195,1361
Bahamas,BHS,7496,163
Bahrain,BHR,86645,341
Bangladesh,BGD,462407,6609
Barbados,BRB,275,7
Belarus,BLR,135008,1151
Belgium,BEL,574448,16461
Belize,BLZ,5647,144
Benin,BEN,2974,43
Bermuda,BMU,251,9
Bhutan,BTN,396,0
Bolivia,BOL,144592,8949
Bosnia and Herzegovina,BIH,87374,2620
Botswana,BWA,10258,31
Brazil,BRA,6290272,172637
British Virgin Islands,BVI,71,1
Brunei,BRN,150,3
Bulgaria,BGR,141747,3749
Burkina Faso,BFA,2817,68
Burundi,BDI,681,1
Cabo Verde,CPV,10700,105
Cambodia,KHM,315,0
Cameroon,CMR,24117,437
Canada,CAN,366518,12000
Central African Republic ,CAR,4913,63
Caribbean Netherlands,BES,162,3
Cayman Islands,CYM,274,2
Chad,TCD,1663,101
Channel Islands,,1218,48
Chile,CHL,550430,15356
China,CHN,86512,4634
Colombia,COL,1299613,36401
Comoros,COM,611,7
Congo,COG,5774,94
Costa Rica,CRI,137093,1690
Croatia,HRV,126612,1712
Cuba,CUB,8233,134
Curaçao,CW,2258,4
Cyprus,CYP,10231,48
Czechia,CZ,518649,8054
Denmark,DNK,79352,829
Diamond Princess,,712,13
Djibouti,DJI,5677,61
Dominica,DMA,85,0
Dominican Republic,DOM,143473,2330
DRC,COD ,12608,333
Ecuador,ECU,190909,13371
Egypt,EGY,115183,6621
El Salvador,SLV,38405,1111
Equatorial Guinea,GNQ,5153,85
Eritrea,ERI,577,0
Estonia,EST,12052,112
Eswatini,SWZ,6406,121
Ethiopia,ETH,108930,1695
Faeroe Islands,FRO,502,0
Falkland Islands,FLK,16,0
Fiji,FJI,38,2
Finland,FIN,24629,393
France,FRA,2208699,52127
French Guiana,GUF,11179,70
French Polynesia,PYF,14096,73
Gabon,GAB,9191,59
Gambia,GMB,3734,123
Georgia,GEO,132368,1230
Germany,DEU,1047806,16444
Ghana,GHA,51476,323
Gibraltar,GIB,1014,5
Greece,GRC,103034,2223
Greenland,GRL,18,0
Grenada,GRD,41,0
Guadeloupe,GLP,8344,149
Guatemala,GTM,121798,4161
Guinea,GIN,13039,76
Guinea-Bissau,GNB,2422,43
Guyana,GUY,5338,149
Haiti,HTI,9272,232
Honduras,HND,107513,2905
Hong Kong,HKG,6239,109
Hungary,HUN,211527,4672
Iceland,ISL,5381,26
India,IND,9406995,136878
Indonesia,IDN,534266,16815
Iran,IRN,948749,47874
Iraq,IRQ,550435,12224
Ireland,IRL,71942,2050
Isle of Man,IMN,369,25
Israel,ISR,334988,2854
Italy,ITA,1564532,54363
Ivory Coast,CIV,21261,131
Jamaica,JAM,10709,256
Japan,JPN,144653,2106
Jordan,JOR,214307,2694
Kazakhstan,KAZ,130865,1990
Kenya,KEN,83316,1452
Kuwait,KWT,142426,878
